"Product ID","Product Position","Promotion","Seasonal","Sales Volume","sku","name","price","currency","Datetime","terms","section","Date","Total_price"
185102,"Aisle","No","No",2823,"272145190-250-2","BASIC PUFFER JACKET",19.99,"USD","2024-02-19T08:50:05.654618","jackets","MAN","2024-02-19",56432
188771,"Aisle","No","No",654,"324052738-800-46","TUXEDO JACKET",169.0,"USD","2024-02-19T08:50:06.590930","jackets","MAN","2024-02-19",110526
180176,"End-cap","Yes","Yes",2220,"335342680-800-44","SLIM FIT SUIT JACKET",129.0,"USD","2024-02-19T08:50:07.301419","jackets","MAN","2024-02-19",286380
112917,"Aisle","Yes","Yes",1568,"328303236-420-44","STRETCH SUIT JACKET",129.0,"USD","2024-02-19T08:50:07.882922","jackets","MAN","2024-02-19",202272
192936,"End-cap","No","Yes",2942,"312368260-800-2","DOUBLE FACED JACKET",139.0,"USD","2024-02-19T08:50:08.453847","jackets","MAN","2024-02-19",408938
117590,"End-cap","No","No",2968,"320298385-807-2","CONTRASTING COLLAR JACKET",79.9,"USD","2024-02-19T08:50:09.140497","jackets","MAN","2024-02-19",237143
189118,"Front of Store","Yes","Yes",952,"278112470-800-2","FAUX LEATHER PUFFER JACKET",69.99,"USD","2024-02-19T08:50:09.688951","jackets","MAN","2024-02-19",66630
182157,"Aisle","No","No",2421,"322972485-431-46","SUIT JACKET IN 100% LINEN",159.0,"USD","2024-02-19T08:50:10.200777","jackets","MAN","2024-02-19",384939
141861,"Aisle","Yes","Yes",1916,"313854165-401-46","100% WOOL SUIT JACKET",169.0,"USD","2024-02-19T08:50:10.880741","jackets","MAN","2024-02-19",323804
137121,"Aisle","No","Yes",656,"312372602-800-2","100% FEATHER FILL PUFFER JACKET",169.0,"USD","2024-02-19T08:50:11.380061","jackets","MAN","2024-02-19",110864
113143,"Aisle","Yes","Yes",2663,"316207900-710-2","HERRINGBONE TEXTURED JACKET",129.0,"USD","2024-02-19T08:50:12.011296","jackets","MAN","2024-02-19",343527
140028,"Aisle","Yes","Yes",1260,"329186122-800-2","OVERSIZED CROPPED JACKET LIMITED EDITION",159.0,"USD","2024-02-19T08:50:12.510507","jackets","MAN","2024-02-19",200340
134693,"Aisle","Yes","No",2124,"311297791-800-2","LEATHER BIKER JACKET",169.0,"USD","2024-02-19T08:50:13.210501","jackets","MAN","2024-02-19",358956
151396,"Front of Store","Yes","Yes",729,"323134418-800-3","CROPPED LEATHER JACKET",439.0,"USD","2024-02-19T08:50:13.771115","jackets","MAN","2024-02-19",320031
132889,"Aisle","Yes","Yes",2265,"311297555-706-2","FAUX LEATHER BOXY FIT JACKET",99.9,"USD","2024-02-19T08:50:14.252907","jackets","MAN","2024-02-19",226274
152174,"End-cap","No","No",2226,"317012940-800-2","FAUX LEATHER JACKET",99.9,"USD","2024-02-19T08:50:14.853868","jackets","MAN","2024-02-19",222377
129906,"Aisle","No","No",2089,"311292672-800-2","FAUX SUEDE BOMBER JACKET",69.9,"USD","2024-02-19T08:50:15.386895","jackets","MAN","2024-02-19",146021
195879,"Front of Store","Yes","Yes",2339,"321496837-400-3","DENIM BOMBER JACKET",129.0,"USD","2024-02-19T08:50:15.895051","jackets","MAN","2024-02-19",301731
155050,"Aisle","No","Yes",2321,"316205038-615-2","BOUCLÉ TEXTURED JACKET",129.0,"USD","2024-02-19T08:50:16.580479","jackets","MAN","2024-02-19",299409
194410,"End-cap","No","No",669,"322972473-052-46","SUIT JACKET IN 100% LINEN",159.0,"USD","2024-02-19T08:50:17.153559","jackets","MAN","2024-02-19",106371
141904,"End-cap","Yes","Yes",1712,"313845662-400-3","JACQUARD DENIM JACKET",109.0,"USD","2024-02-19T08:50:17.639427","jackets","MAN","2024-02-19",186608
124981,"Front of Store","No","Yes",1832,"320264577-800-2","PADDED DENIM JACKET",89.9,"USD","2024-02-19T08:50:18.264732","jackets","MAN","2024-02-19",164697
161909,"Aisle","Yes","No",1290,"315529534-705-3","LEATHER JACKET",299.0,"USD","2024-02-19T08:50:18.813979","jackets","MAN","2024-02-19",385710
